"","KL divergence","DACd","Ranking"
"Expert 1",1.43007752496623,0.561703592873172,2
"Expert 2",2.85594682508986,1.12175428583537,3
"Expert 3",5.76709969980168,2.26519231669828,4
"Expert 4",0.18753174846155,0.0736584241411167,1
"Benchmark",2.54596471005505,NA,NA
