"","Expert 1","Expert 2","Expert 3","Expert 4"
"Mean",2.15222623087239,2.15968728180608,1.97044920341291,2.35132150540296
"SD",0.0922270671493635,0.0655016834829548,0.106156398539586,0.11296166062618
"Skewness parameter dsnorm function",0.776994043364349,0.823043205884765,0.824279758891482,0.936537152948375
