"ID regio","ID nummer onderzoek","Getransformeerde data","Opmerkingen"
"9","627","3.21443596485715",""
"9","171","4.23192243776438",""
"9","772","0.729274684243673",""
"9","430","1.19467208440752",""
"9","545","2.35360286520768",""
"9","140","2.21976308999716",""
"9","433","0.895053496720337","Vertrokken"
"9","514","4.43192164731191",""
"9","650","1.65930903130312",""
"9","860","1.58478461101545",""
"9","721","0.971098823544495",""
"2","296","1.27604058410937",""
"2","99","3.49960594044774",""
"2","912","4.12393807367407",""
"2","408","2.59390609797202",""
"2","918","2.17033362756146",""
"2","792","0.898095309793303",""
"2","111","3.88059302783677",""
"2","441","2.81976071863977",""
"2","37","2.70189046206232",""
"2","878","2.96044457326446",""
"5","453","0.863114459454191",""
"5","102","4.43116119404367",""
"5","862","1.01064239349306",""
"5","654","0.332318078221569",""
"5","5","1.67375764339971",""
"5","378","1.40303627990571",""
"5","389","2.41443912666701",""
"5","904","2.42356456588591",""
"5","82","1.26311287854926",""
"5","802","1.26311287854926",""
"5","827","0.848665847357601",""
"5","210","1.64638132574302",""
"5","560","2.99846723667654",""
"10","334","0.904939389207477",""
"10","396","1.84485962875407",""
"10","990","1.14600307524006",""
"10","328","1.52851106916557",""
"10","52","1.0334559915403",""
"10","107","1.53307378877502",""
"10","235","1.9589276189903",""
"10","825","1.41292217239285",""
"10","649","2.78934258791011",""
"10","327","0.75665100190037",""
"6","703","3.00074859648127",""
"6","333","2.66234689211376",""
"6","531","1.31634460732617",""
"6","527","3.11101432037629",""
"6","85","2.08668376805489",""
"6","752","3.87983257456853",""
"6","777","1.61596319501335",""
"6","927","3.78401546277009",""
"6","142","1.56349191950468",""
"6","340","1.37261814917605",""
"6","479","2.93458916214425",""
"6","352","2.68668139669749",""
"11","695","2.2075958377053",""
"11","716","3.46386463684039",""
"11","844","2.33459153350164",""
"11","456","2.8037912000067",""
"11","71","4.71785207617075",""
"11","492","2.08972558112786",""
"11","80","2.6319287613841",""
"11","761","2.76576853659462",""
"11","853","2.33002881389219",""
"11","903","2.11177872590686",""
"4","124","2.93687052194897",""
"4","773","2.17565680043915",""
"4","790","2.74067357874265",""
"4","931","2.54143482246335",""
"4","139","1.95360444611261",""
"4","583","4.6547344549067",""
"4","645","2.89656649873217",""
"4","979","1.86311050719186",""
"4","601","2.4380131779825",""
"4","884","2.53078847670797",""
"4","165","2.35512377174417",""
"4","96","2.91481737716997",""
"3","464","0.628134399567543","Langdurig ziek"
"3","425","2.44029453778722",""
"3","779","2.12394597819873",""
"3","482","2.70949499474474",""
"3","788","1.7650120355887",""
"3","906","1.63041180710994",""
"3","640","3.12090021286343",""
"3","712","4.15663756420846",""
"3","242","2.07755832883599",""
"3","343","2.46767085544392",""
"3","256","2.19542858541343",""
"3","923","2.82508389151746",""
"3","874","2.42964819203184",""
"3","993","1.9954293758659",""
"7","32","2.49276581329589",""
"7","766","1.62128636789104",""
"7","835","1.64029769959708",""
"7","707","3.35131755314063",""
"7","220","4.43420300711664",""
"7","420","1.56881509238237",""
"7","228","2.06463062327588",""
"7","615","3.50645001986191",""
"7","196","2.20987719751002",""
"7","192","0.235740513154889","Vertrokken"
"7","388","2.5368721028539",""
"7","487","2.11862280532103",""
